nmmunicipiocredor,nmfuncao,vlempenhado,vlliquidado,vlpagoorcamentario,valor_total
DONA EMMA,Transporte,0.0,150000.0,150000.0,300000.0
DOUTOR PEDRINHO,Agricultura,0.0,200000.0,200000.0,400000.0
DOUTOR PEDRINHO,Educação,0.0,0.0,0.0,0.0
DOUTOR PEDRINHO,Saúde,0.0,3048.0,4572.0,7620.0
ENTRE RIOS,Agricultura,-150000.0,150000.0,150000.0,150000.0
ENTRE RIOS,Educação,0.0,0.0,0.0,0.0
ENTRE RIOS,Saúde,0.0,0.0,0.0,0.0
ENTRE RIOS,Transporte,0.0,150000.0,150000.0,300000.0
ERMO,Assistência Social,0.0,400000.0,400000.0,800000.0
ERMO,Educação,-200000.0,200000.0,200000.0,200000.0
ERMO,Saúde,0.0,0.0,0.0,0.0
ERMO,Transporte,0.0,150000.0,150000.0,300000.0
ERVAL VELHO,Educação,0.0,210.0,210.0,420.0
ERVAL VELHO,Saúde,0.0,3354.0,5031.0,8385.0
FAXINAL DOS GUEDES,Agricultura,0.0,300000.0,300000.0,600000.0
FAXINAL DOS GUEDES,Educação,-200000.0,230300.0,230300.0,260600.0
FAXINAL DOS GUEDES,Saúde,0.0,430000.0,430000.0,860000.0
FLOR DO SERTAO,Agricultura,-300000.0,300000.0,300000.0,300000.0
FLOR DO SERTAO,Educação,0.0,0.0,0.0,0.0
FLOR DO SERTAO,Saúde,0.0,0.0,0.0,0.0
FLOR DO SERTAO,Transporte,0.0,200000.0,200000.0,400000.0
FLORIANOPOLIS,Administração,0.0,0.0,0.0,0.0
FLORIANOPOLIS,Assistência Social,0.0,0.0,0.0,0.0
FLORIANOPOLIS,Ciência e Tecnologia,0.0,100000.0,100000.0,200000.0
FLORIANOPOLIS,Comércio e Serviços,0.0,0.0,0.0,0.0
FLORIANOPOLIS,Cultura,0.0,0.0,100000.0,100000.0
FLORIANOPOLIS,Educação,0.0,2294100.0,2294100.0,4588200.0
FLORIANOPOLIS,Saúde,0.0,23463036.0,21718811.0,45181847.0
FLORIANOPOLIS,Segurança Pública,0.0,0.0,0.0,0.0
FORMOSA DO SUL,Agricultura,0.0,600000.0,600000.0,1200000.0
FORMOSA DO SUL,Comércio e Serviços,0.0,150000.0,150000.0,300000.0
FORMOSA DO SUL,Educação,0.0,0.0,0.0,0.0
FORMOSA DO SUL,Saúde,0.0,0.0,0.0,0.0
FORQUILHINHA,Agricultura,-43000.0,107000.0,107000.0,171000.0
FORQUILHINHA,Comércio e Serviços,0.0,1000000.0,1000000.0,2000000.0
FORQUILHINHA,Desporto e Lazer,0.0,0.0,0.0,0.0
FORQUILHINHA,Educação,0.0,100440.0,100440.0,200880.0
FORQUILHINHA,Saúde,0.0,0.0,0.0,0.0
FORQUILHINHA,Transporte,0.0,2675000.0,2675000.0,5350000.0
FRAIBURGO,Agricultura,0.0,0.0,0.0,0.0
FRAIBURGO,Educação,0.0,68150.0,68150.0,136300.0
FRAIBURGO,Saúde,0.0,970000.0,970000.0,1940000.0
FREI ROGERIO,Educação,0.0,42124.0,0.0,42124.0
FREI ROGERIO,Saúde,0.0,0.0,0.0,0.0
GALVAO,Educação,0.0,376000.0,376000.0,752000.0
GALVAO,Saúde,0.0,2604.0,3906.0,6510.0
GAROPABA,Agricultura,0.0,181770.0,181770.0,363540.0
GAROPABA,Educação,0.0,0.0,0.0,0.0
GAROPABA,Saúde,0.0,0.0,0.0,0.0
GAROPABA,Transporte,0.0,500000.0,500000.0,1000000.0
GARUVA,Educação,0.0,0.0,0.0,0.0
GARUVA,Saúde,0.0,0.0,0.0,0.0
GASPAR,Agricultura,0.0,300000.0,300000.0,600000.0
GASPAR,Educação,0.0,255188.0,136120.0,391308.0
GASPAR,Saúde,0.0,86650.0,12375.0,99025.0
GASPAR,Transporte,0.0,350000.0,350000.0,700000.0
GOVERNADOR CELSO RAMOS,Agricultura,0.0,100000.0,100000.0,200000.0
GOVERNADOR CELSO RAMOS,Educação,0.0,300.0,300.0,600.0
GOVERNADOR CELSO RAMOS,Saúde,-300000.0,0.0,0.0,-300000.0
GOVERNADOR CELSO RAMOS,Transporte,0.0,0.0,0.0,0.0
GRAVATAL,Comércio e Serviços,0.0,250000.0,250000.0,500000.0
GRAVATAL,Educação,0.0,288650.0,288650.0,577300.0
GRAVATAL,Saúde,0.0,0.0,0.0,0.0
GRAVATAL,Transporte,0.0,550000.0,550000.0,1100000.0
GUABIRUBA,Educação,0.0,91185.0,0.0,91185.0
GUABIRUBA,Saúde,0.0,17874.0,26811.0,44685.0
GUARACIABA,Educação,0.0,30300.0,30300.0,60600.0
GUARACIABA,Saúde,0.0,100000.0,100000.0,200000.0
GUARAMIRIM,Educação,0.0,20560.0,20560.0,41120.0
GUARAMIRIM,Saúde,0.0,88200.0,0.0,88200.0
GUARUJA DO SUL,Agricultura,-220000.0,520000.0,520000.0,820000.0
GUARUJA DO SUL,Educação,-500000.0,500000.0,500000.0,500000.0
GUARUJA DO SUL,Saúde,0.0,3870.0,5805.0,9675.0
GUARUJA DO SUL,Transporte,0.0,250000.0,250000.0,500000.0
GUATAMBU,Educação,0.0,57077.0,0.0,57077.0
GUATAMBU,Saúde,0.0,0.0,0.0,0.0
HERVAL DOESTE,Educação,0.0,275.0,275.0,550.0
HERVAL DOESTE,Saúde,0.0,0.0,0.0,0.0
HERVAL DOESTE,Transporte,0.0,600000.0,600000.0,1200000.0
IBIAM,Agricultura,-190000.0,190000.0,190000.0,190000.0
IBIAM,Educação,0.0,242000.0,242000.0,484000.0
IBIAM,Saúde,0.0,0.0,0.0,0.0
IBICARE,Agricultura,0.0,200000.0,200000.0,400000.0
IBICARE,Educação,0.0,0.0,0.0,0.0
IBICARE,Saúde,0.0,0.0,0.0,0.0
IBIRAMA,Educação,0.0,4500000.0,4500000.0,9000000.0
IBIRAMA,Saúde,0.0,8250.0,12375.0,20625.0
ICARA,Educação,0.0,2630997.0,2630997.0,5261994.0
ICARA,Saúde,-13630000.0,2233091.0,2259572.0,-9137337.0
ILHOTA,Educação,0.0,0.0,0.0,0.0
ILHOTA,Saúde,0.0,21020.0,26339.0,47359.0
ILHOTA,Segurança Pública,0.0,0.0,0.0,0.0
IMARUI,Educação,0.0,140000.0,140000.0,280000.0
IMARUI,Saúde,0.0,0.0,0.0,0.0
IMBITUBA,Educação,0.0,600.0,600.0,1200.0
IMBITUBA,Saúde,0.0,8724.0,13107.0,21831.0
IMBUIA,Educação,0.0,122504.0,87780.0,210284.0
IMBUIA,Saúde,0.0,0.0,0.0,0.0
INDAIAL,Educação,0.0,860.0,860.0,1720.0
INDAIAL,Saúde,0.0,98700.0,65800.0,164500.0
IOMERE,Agricultura,0.0,300000.0,300000.0,600000.0
IOMERE,Educação,0.0,0.0,0.0,0.0
IOMERE,Saúde,0.0,0.0,0.0,0.0
IPIRA,Educação,-229500.0,229500.0,229500.0,229500.0
IPIRA,Saúde,0.0,0.0,0.0,0.0
IPORA DO OESTE,Agricultura,0.0,300000.0,300000.0,600000.0
IPORA DO OESTE,Educação,-450000.0,599150.0,550000.0,699150.0
IPORA DO OESTE,Saúde,0.0,0.0,0.0,0.0
IPUACU,Agricultura,0.0,400000.0,400000.0,800000.0
IPUACU,Educação,0.0,10000.0,10000.0,20000.0
IPUACU,Saúde,0.0,0.0,0.0,0.0
IPUMIRIM,Agricultura,-1000000.0,650000.0,650000.0,300000.0
IPUMIRIM,Educação,-105000.0,514500.0,514500.0,924000.0
IPUMIRIM,Saúde,0.0,0.0,0.0,0.0
IPUMIRIM,Segurança Pública,0.0,0.0,0.0,0.0
IRACEMINHA,Comércio e Serviços,0.0,250000.0,250000.0,500000.0
IRACEMINHA,Educação,0.0,445260.0,445260.0,890520.0
IRACEMINHA,Saúde,0.0,3246.0,4869.0,8115.0
IRACEMINHA,Transporte,0.0,1645126.0,1645126.0,3290252.0
IRANI,Educação,0.0,20000.0,20000.0,40000.0
IRANI,Saúde,0.0,0.0,0.0,0.0
IRATI,Agricultura,0.0,200000.0,200000.0,400000.0
IRATI,Educação,-300000.0,313049.0,300000.0,313049.0
IRATI,Saúde,0.0,1572.0,2358.0,3930.0
IRATI,Transporte,0.0,300000.0,300000.0,600000.0
IRINEOPOLIS,Educação,0.0,250.0,250.0,500.0
IRINEOPOLIS,Saúde,0.0,0.0,0.0,0.0
ITA,Agricultura,0.0,580000.0,580000.0,1160000.0
ITA,Educação,0.0,0.0,0.0,0.0
ITA,Saúde,0.0,4914.0,7371.0,12285.0
ITAIOPOLIS,Educação,0.0,20000.0,20000.0,40000.0
ITAIOPOLIS,Saúde,0.0,0.0,0.0,0.0
ITAJAI,Assistência Social,0.0,3621350.0,121350.0,3742700.0
ITAJAI,Comércio e Serviços,-10500000.0,0.0,0.0,-10500000.0
ITAJAI,Educação,0.0,785467.0,785467.0,1570934.0
ITAJAI,Gestão Ambiental,0.0,0.0,0.0,0.0
ITAJAI,Saúde,0.0,171252.0,256878.0,428130.0
ITAPEMA,Educação,0.0,410188.0,410188.0,820376.0
ITAPEMA,Saúde,0.0,57234.0,85851.0,143085.0
ITAPIRANGA,Agricultura,0.0,300000.0,300000.0,600000.0
ITAPIRANGA,Educação,0.0,0.0,0.0,0.0
ITAPIRANGA,Saúde,0.0,12654.0,18981.0,31635.0
ITAPIRANGA,Transporte,0.0,4000000.0,4000000.0,8000000.0
ITAPOA,Educação,0.0,177853.0,103205.0,281058.0
ITAPOA,Saúde,0.0,15432.0,23148.0,38580.0
ITUPORANGA,Educação,0.0,200000.0,200000.0,400000.0
